"","Country","Year","Area","Metier","Gear","Vessel_length","kw_days","Days_at_sea","FU","lvl4"
"882","BEL",2013,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",370610,350,NA,"TBB_DEF"
"883","BEL",2013,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","24<40",8282,10,NA,"OTB_CRU"
"884","BEL",2013,"27.7.f","OTB_CRU_70-99_0_0_all","OTB","24<40",32528,39,NA,"OTB_CRU"
"885","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",131355,147,NA,"OTB_CRU"
"886","BEL",2013,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",29108,36,NA,"TBB_DEF"
"887","BEL",2013,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",103420,99,NA,"TBB_DEF"
"888","BEL",2013,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",393887,389,NA,"TBB_DEF"
"889","BEL",2013,"27.7.h","TBB_DEF_70-99_0_0_all","TBB","24<40",959,1,NA,"TBB_DEF"
"890","BEL",2013,"27.7.e","MIS_MIS_0_0_0_HC","MIS","24<40",2362,2,NA,"MIS_MIS"
"891","BEL",2013,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","24<40",8181,9,NA,"OTB_CRU"
"892","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",22440,40,NA,"OTB_CRU"
"893","BEL",2013,"27.7.e","SSC_DEF_70-99_0_0_all","SSC","24<40",4560,13,NA,"SSC_DEF"
"894","BEL",2013,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","10<24",1105,5,NA,"TBB_DEF"
"895","BEL",2013,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",58407,57,NA,"TBB_DEF"
"896","BEL",2013,"27.7.f","TBB_DEF_70-99_0_0_all","TBB","24<40",123545,108,NA,"TBB_DEF"
"897","BEL",2013,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",291377,269,NA,"TBB_DEF"
