"","Country","Year","Area","Metier","Gear","Vessel_length","kw_days","Days_at_sea","FU","lvl4"
"1243","BEL",2015,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","24<40",15351,17,NA,"OTB_CRU"
"1244","BEL",2015,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","10<24",663,3,NA,"TBB_DEF"
"1245","BEL",2015,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",45195,52,NA,"TBB_DEF"
"1246","BEL",2015,"27.7.e","OTB_CRU_70-99_0_0_all","OTB","24<40",18654,25,NA,"OTB_CRU"
"1247","BEL",2015,"27.7.e","SSC_DEF_70-99_0_0_all","SSC","24<40",2400,2,NA,"SSC_DEF"
"1248","BEL",2015,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","10<24",436,2,NA,"TBB_DEF"
"1249","BEL",2015,"27.7.e","TBB_DEF_70-99_0_0_all","TBB","24<40",105096,112,NA,"TBB_DEF"
"1250","NLD",2016,"27.7.b","OTM_DEF","OTM",">=40",846867,116,NA,"OTM_DEF"
"1251","NLD",2016,"27.7.c","OTM_DEF","OTM",">=40",490597,53,NA,"OTM_DEF"
"1252","NLD",2016,"27.7.j","OTM_DEF","OTM",">=40",216279,27,NA,"OTM_DEF"
"1253","NLD",2016,"27.7.k","OTM_DEF","OTM",">=40",343550,37,NA,"OTM_DEF"
"1254","NLD",2016,"27.7.e","SSC_DEF_70-99_0_0","SSC","24<40",23488,34,NA,"SSC_DEF"
