X,year,scenario,fleet,metier,effshare,effort,efmet,gear,Country,Fleet
70,2019,max,IE_Otter_24<40m,OTB_DEF_27.7.g,0.181866871,9276.741541,1687.131959,OTB_DEF_27,IE,Otter_24<40m
71,2019,max,IE_Otter_24<40m,OTH,0.762053216,9276.741541,7069.370721,OTH,IE,Otter_24<40m
73,2019,max,SP_Static_24<40m,OTH,1,365.7212314,365.7212314,OTH,SP,Static_24<40m
74,2019,max,SP_Static_all,LLS_DEF_27.7.c,0.102849071,2771.785274,285.0755404,LLS_DEF_27,SP,Static_all
75,2019,max,SP_Static_all,LLS_DEF_27.7.j,0.710490245,2771.785274,1969.326399,LLS_DEF_27,SP,Static_all
76,2019,max,SP_Static_all,OTH,0.186660684,2771.785274,517.3833338,OTH,SP,Static_all
77,2019,min,BE_Beam_10<24m,OTH,1,0,0,OTH,BE,Beam_10<24m
78,2019,min,BE_Beam_24<40m,OTH,0.68118469,0,0,OTH,BE,Beam_24<40m
79,2019,min,BE_Beam_24<40m,TBB_DEF_27.7.g,0.31881531,0,0,TBB_DEF_27,BE,Beam_24<40m
80,2019,min,BE_Otter_24<40m,OTH,1,0,0,OTH,BE,Otter_24<40m
81,2019,min,EN_Beam_10<24m,OTH,1,0,0,OTH,EN,Beam_10<24m
82,2019,min,EN_Beam_24<40m,OTH,1,0,0,OTH,EN,Beam_24<40m
83,2019,min,EN_Other_all,OTH,1,0,0,OTH,EN,Other_all
84,2019,min,EN_Otter_<10m,OTH,1,0,0,OTH,EN,Otter_<10m
85,2019,min,EN_Otter_10<24m,OTH,1,0,0,OTH,EN,Otter_10<24m
86,2019,min,EN_Otter_24<40m,OTB_DEF_27.7.j,0.484364995,0,0,OTB_DEF_27,EN,Otter_24<40m
87,2019,min,EN_Otter_24<40m,OTH,0.515635005,0,0,OTH,EN,Otter_24<40m
88,2019,min,EN_Static_all,OTH,1,0,0,OTH,EN,Static_all
89,2019,min,FR_Other_all,OTH,1,6514.612067,6514.612067,OTH,FR,Other_all
90,2019,min,FR_Otter_10<24m,OTB_DEF_27.7.e,0.239316749,0,0,OTB_DEF_27,FR,Otter_10<24m
91,2019,min,FR_Otter_10<24m,OTB_DEF_27.7.h,0.084970794,0,0,OTB_DEF_27,FR,Otter_10<24m
92,2019,min,FR_Otter_10<24m,OTH,0.675712457,0,0,OTH,FR,Otter_10<24m
93,2019,min,FR_Otter_24<40m,OTB_DEF_27.7.e,0.175921897,0,0,OTB_DEF_27,FR,Otter_24<40m
94,2019,min,FR_Otter_24<40m,OTB_DEF_27.7.g,0.049938315,0,0,OTB_DEF_27,FR,Otter_24<40m
95,2019,min,FR_Otter_24<40m,OTB_DEF_27.7.h,0.17686027,0,0,OTB_DEF_27,FR,Otter_24<40m
96,2019,min,FR_Otter_24<40m,OTB_DEF_27.7.j,0.206043995,0,0,OTB_DEF_27,FR,Otter_24<40m
97,2019,min,FR_Otter_24<40m,OTH,0.391235523,0,0,OTH,FR,Otter_24<40m
98,2019,min,FR_Otter_all,OTH,0.85674909,2764.81546,2368.75313,OTH,FR,Otter_all
99,2019,min,FR_Otter_all,OTT_DEF_27.7.g,0.14325091,2764.81546,396.0623295,OTT_DEF_27,FR,Otter_all
100,2019,min,IE_Beam_10<24m,OTH,1,0,0,OTH,IE,Beam_10<24m
101,2019,min,IE_Beam_24<40m,OTH,0.006156554,0,0,OTH,IE,Beam_24<40m
102,2019,min,IE_Beam_24<40m,TBB_DEF_27.7.g,0.993843446,0,0,TBB_DEF_27,IE,Beam_24<40m
103,2019,min,IE_Otter_10<24m,OTB_DEF_27.7.g,0.321756329,0,0,OTB_DEF_27,IE,Otter_10<24m
104,2019,min,IE_Otter_10<24m,OTB_DEF_27.7.j,0.170615033,0,0,OTB_DEF_27,IE,Otter_10<24m
105,2019,min,IE_Otter_10<24m,OTH,0.460695961,0,0,OTH,IE,Otter_10<24m
106,2019,min,IE_Otter_10<24m,SSC_DEF_27.7.g,0.046932677,0,0,SSC_DEF_27,IE,Otter_10<24m
107,2019,min,IE_Otter_24<40m,OTB_DEF_27.7.b,0.056079913,0,0,OTB_DEF_27,IE,Otter_24<40m
108,2019,min,IE_Otter_24<40m,OTB_DEF_27.7.g,0.181866871,0,0,OTB_DEF_27,IE,Otter_24<40m
109,2019,min,IE_Otter_24<40m,OTH,0.762053216,0,0,OTH,IE,Otter_24<40m
111,2019,min,SP_Static_24<40m,OTH,1,293.7417341,293.7417341,OTH,SP,Static_24<40m
112,2019,min,SP_Static_all,LLS_DEF_27.7.c,0.102849071,1713.647557,176.2470592,LLS_DEF_27,SP,Static_all
113,2019,min,SP_Static_all,LLS_DEF_27.7.j,0.710490245,1713.647557,1217.529873,LLS_DEF_27,SP,Static_all
114,2019,min,SP_Static_all,OTH,0.186660684,1713.647557,319.8706243,OTH,SP,Static_all
115,2019,cod-cs,BE_Beam_10<24m,OTH,1,0,0,OTH,BE,Beam_10<24m
116,2019,cod-cs,BE_Beam_24<40m,OTH,0.68118469,0,0,OTH,BE,Beam_24<40m
117,2019,cod-cs,BE_Beam_24<40m,TBB_DEF_27.7.g,0.31881531,0,0,TBB_DEF_27,BE,Beam_24<40m
118,2019,cod-cs,BE_Otter_24<40m,OTH,1,0,0,OTH,BE,Otter_24<40m
119,2019,cod-cs,EN_Beam_10<24m,OTH,1,0,0,OTH,EN,Beam_10<24m
120,2019,cod-cs,EN_Beam_24<40m,OTH,1,0,0,OTH,EN,Beam_24<40m
121,2019,cod-cs,EN_Other_all,OTH,1,0,0,OTH,EN,Other_all
122,2019,cod-cs,EN_Otter_<10m,OTH,1,0,0,OTH,EN,Otter_<10m
123,2019,cod-cs,EN_Otter_10<24m,OTH,1,0,0,OTH,EN,Otter_10<24m
124,2019,cod-cs,EN_Otter_24<40m,OTB_DEF_27.7.j,0.484364995,0,0,OTB_DEF_27,EN,Otter_24<40m
125,2019,cod-cs,EN_Otter_24<40m,OTH,0.515635005,0,0,OTH,EN,Otter_24<40m
126,2019,cod-cs,EN_Static_all,OTH,1,0,0,OTH,EN,Static_all
127,2019,cod-cs,FR_Other_all,OTH,1,11672.615,11672.615,OTH,FR,Other_all
128,2019,cod-cs,FR_Otter_10<24m,OTB_DEF_27.7.e,0.239316749,0,0,OTB_DEF_27,FR,Otter_10<24m
129,2019,cod-cs,FR_Otter_10<24m,OTB_DEF_27.7.h,0.084970794,0,0,OTB_DEF_27,FR,Otter_10<24m
130,2019,cod-cs,FR_Otter_10<24m,OTH,0.675712457,0,0,OTH,FR,Otter_10<24m
131,2019,cod-cs,FR_Otter_24<40m,OTB_DEF_27.7.e,0.175921897,0,0,OTB_DEF_27,FR,Otter_24<40m
132,2019,cod-cs,FR_Otter_24<40m,OTB_DEF_27.7.g,0.049938315,0,0,OTB_DEF_27,FR,Otter_24<40m
133,2019,cod-cs,FR_Otter_24<40m,OTB_DEF_27.7.h,0.17686027,0,0,OTB_DEF_27,FR,Otter_24<40m
134,2019,cod-cs,FR_Otter_24<40m,OTB_DEF_27.7.j,0.206043995,0,0,OTB_DEF_27,FR,Otter_24<40m
135,2019,cod-cs,FR_Otter_24<40m,OTH,0.391235523,0,0,OTH,FR,Otter_24<40m
136,2019,cod-cs,FR_Otter_all,OTH,0.85674909,4327.435,3707.526,OTH,FR,Otter_all
137,2019,cod-cs,FR_Otter_all,OTT_DEF_27.7.g,0.14325091,4327.435,619.909,OTT_DEF_27,FR,Otter_all
138,2019,cod-cs,IE_Beam_10<24m,OTH,1,0,0,OTH,IE,Beam_10<24m
139,2019,cod-cs,IE_Beam_24<40m,OTH,0.006156554,0,0,OTH,IE,Beam_24<40m
140,2019,cod-cs,IE_Beam_24<40m,TBB_DEF_27.7.g,0.993843446,0,0,TBB_DEF_27,IE,Beam_24<40m
141,2019,cod-cs,IE_Otter_10<24m,OTB_DEF_27.7.g,0.321756329,0,0,OTB_DEF_27,IE,Otter_10<24m
142,2019,cod-cs,IE_Otter_10<24m,OTB_DEF_27.7.j,0.170615033,0,0,OTB_DEF_27,IE,Otter_10<24m
143,2019,cod-cs,IE_Otter_10<24m,OTH,0.460695961,0,0,OTH,IE,Otter_10<24m
144,2019,cod-cs,IE_Otter_10<24m,SSC_DEF_27.7.g,0.046932677,0,0,SSC_DEF_27,IE,Otter_10<24m
145,2019,cod-cs,IE_Otter_24<40m,OTB_DEF_27.7.b,0.056079913,0,0,OTB_DEF_27,IE,Otter_24<40m
146,2019,cod-cs,IE_Otter_24<40m,OTB_DEF_27.7.g,0.181866871,0,0,OTB_DEF_27,IE,Otter_24<40m
147,2019,cod-cs,IE_Otter_24<40m,OTH,0.762053216,0,0,OTH,IE,Otter_24<40m
149,2019,cod-cs,SP_Static_24<40m,OTH,1,354.49814,354.49814,OTH,SP,Static_24<40m
150,2019,cod-cs,SP_Static_all,LLS_DEF_27.7.c,0.102849071,2686.725953,276.3272684,LLS_DEF_27,SP,Static_all
151,2019,cod-cs,SP_Static_all,LLS_DEF_27.7.j,0.710490245,2686.725953,1908.892582,LLS_DEF_27,SP,Static_all
152,2019,cod-cs,SP_Static_all,OTH,0.186660684,2686.725953,501.506103,OTH,SP,Static_all
153,2019,had-cs,BE_Beam_10<24m,OTH,1,162.0361223,162.0361223,OTH,BE,Beam_10<24m
154,2019,had-cs,BE_Beam_24<40m,OTH,0.68118469,7078.244058,4821.591483,OTH,BE,Beam_24<40m
155,2019,had-cs,BE_Beam_24<40m,TBB_DEF_27.7.g,0.31881531,7078.244058,2256.652575,TBB_DEF_27,BE,Beam_24<40m
156,2019,had-cs,BE_Otter_24<40m,OTH,1,451.3358123,451.3358123,OTH,BE,Otter_24<40m
157,2019,had-cs,EN_Beam_10<24m,OTH,1,779.3314854,779.3314854,OTH,EN,Beam_10<24m
158,2019,had-cs,EN_Beam_24<40m,OTH,1,2470.092719,2470.092719,OTH,EN,Beam_24<40m
159,2019,had-cs,EN_Other_all,OTH,1,3542.829087,3542.829087,OTH,EN,Other_all
160,2019,had-cs,EN_Otter_<10m,OTH,1,180.9947934,180.9947934,OTH,EN,Otter_<10m
161,2019,had-cs,EN_Otter_10<24m,OTH,1,944.8626741,944.8626741,OTH,EN,Otter_10<24m
162,2019,had-cs,EN_Otter_24<40m,OTB_DEF_27.7.j,0.484364995,756.4971171,366.4207225,OTB_DEF_27,EN,Otter_24<40m
163,2019,had-cs,EN_Otter_24<40m,OTH,0.515635005,756.4971171,390.0763946,OTH,EN,Otter_24<40m
164,2019,had-cs,EN_Static_all,OTH,1,3876.251525,3876.251525,OTH,EN,Static_all
165,2019,had-cs,FR_Other_all,OTH,1,8333.229358,8333.229358,OTH,FR,Other_all
166,2019,had-cs,FR_Otter_10<24m,OTB_DEF_27.7.e,0.239316749,14119.32184,3378.990206,OTB_DEF_27,FR,Otter_10<24m
167,2019,had-cs,FR_Otter_10<24m,OTB_DEF_27.7.h,0.084970794,14119.32184,1199.729981,OTB_DEF_27,FR,Otter_10<24m
168,2019,had-cs,FR_Otter_10<24m,OTH,0.675712457,14119.32184,9540.601654,OTH,FR,Otter_10<24m
169,2019,had-cs,FR_Otter_24<40m,OTB_DEF_27.7.e,0.175921897,14060.84218,2473.610033,OTB_DEF_27,FR,Otter_24<40m
170,2019,had-cs,FR_Otter_24<40m,OTB_DEF_27.7.g,0.049938315,14060.84218,702.1747706,OTB_DEF_27,FR,Otter_24<40m
171,2019,had-cs,FR_Otter_24<40m,OTB_DEF_27.7.h,0.17686027,14060.84218,2486.804339,OTB_DEF_27,FR,Otter_24<40m
172,2019,had-cs,FR_Otter_24<40m,OTB_DEF_27.7.j,0.206043995,14060.84218,2897.152099,OTB_DEF_27,FR,Otter_24<40m
173,2019,had-cs,FR_Otter_24<40m,OTH,0.391235523,14060.84218,5501.100938,OTH,FR,Otter_24<40m
174,2019,had-cs,FR_Otter_all,OTH,0.85674909,4327.435,3707.526,OTH,FR,Otter_all
175,2019,had-cs,FR_Otter_all,OTT_DEF_27.7.g,0.14325091,4327.435,619.909,OTT_DEF_27,FR,Otter_all
176,2019,had-cs,IE_Beam_10<24m,OTH,1,414.1214543,414.1214543,OTH,IE,Beam_10<24m
177,2019,had-cs,IE_Beam_24<40m,OTH,0.006156554,1880.388295,11.5767128,OTH,IE,Beam_24<40m
178,2019,had-cs,IE_Beam_24<40m,TBB_DEF_27.7.g,0.993843446,1880.388295,1868.811582,TBB_DEF_27,IE,Beam_24<40m
179,2019,had-cs,IE_Otter_10<24m,OTB_DEF_27.7.g,0.321756329,12209.89504,3928.611009,OTB_DEF_27,IE,Otter_10<24m
180,2019,had-cs,IE_Otter_10<24m,OTB_DEF_27.7.j,0.170615033,12209.89504,2083.191645,OTB_DEF_27,IE,Otter_10<24m
181,2019,had-cs,IE_Otter_10<24m,OTH,0.460695961,12209.89504,5625.049326,OTH,IE,Otter_10<24m
182,2019,had-cs,IE_Otter_10<24m,SSC_DEF_27.7.g,0.046932677,12209.89504,573.0430606,SSC_DEF_27,IE,Otter_10<24m
183,2019,had-cs,IE_Otter_24<40m,OTB_DEF_27.7.b,0.056079913,8954.02575,502.1409865,OTB_DEF_27,IE,Otter_24<40m
184,2019,had-cs,IE_Otter_24<40m,OTB_DEF_27.7.g,0.181866871,8954.02575,1628.440648,OTB_DEF_27,IE,Otter_24<40m
185,2019,had-cs,IE_Otter_24<40m,OTH,0.762053216,8954.02575,6823.444115,OTH,IE,Otter_24<40m
187,2019,had-cs,SP_Static_24<40m,OTH,1,354.49814,354.49814,OTH,SP,Static_24<40m
188,2019,had-cs,SP_Static_all,LLS_DEF_27.7.c,0.102849071,1713.647557,176.2470592,LLS_DEF_27,SP,Static_all
189,2019,had-cs,SP_Static_all,LLS_DEF_27.7.j,0.710490245,1713.647557,1217.529873,LLS_DEF_27,SP,Static_all
190,2019,had-cs,SP_Static_all,OTH,0.186660684,1713.647557,319.8706243,OTH,SP,Static_all
191,2019,whg-cs,BE_Beam_10<24m,OTH,1,120.685122,120.685122,OTH,BE,Beam_10<24m
192,2019,whg-cs,BE_Beam_24<40m,OTH,0.68118469,5179.242964,3528.021012,OTH,BE,Beam_24<40m
193,2019,whg-cs,BE_Beam_24<40m,TBB_DEF_27.7.g,0.31881531,5179.242964,1651.221952,TBB_DEF_27,BE,Beam_24<40m
194,2019,whg-cs,BE_Otter_24<40m,OTH,1,378.4646889,378.4646889,OTH,BE,Otter_24<40m
195,2019,whg-cs,EN_Beam_10<24m,OTH,1,402.1280205,402.1280205,OTH,EN,Beam_10<24m
196,2019,whg-cs,EN_Beam_24<40m,OTH,1,1274.545574,1274.545574,OTH,EN,Beam_24<40m
197,2019,whg-cs,EN_Other_all,OTH,1,2295.025853,2295.025853,OTH,EN,Other_all
198,2019,whg-cs,EN_Otter_<10m,OTH,1,291.9890127,291.9890127,OTH,EN,Otter_<10m
199,2019,whg-cs,EN_Otter_10<24m,OTH,1,1490.307131,1490.307131,OTH,EN,Otter_10<24m
200,2019,whg-cs,EN_Otter_24<40m,OTB_DEF_27.7.j,0.484364995,1139.927791,552.1411188,OTB_DEF_27,EN,Otter_24<40m
201,2019,whg-cs,EN_Otter_24<40m,OTH,0.515635005,1139.927791,587.7866717,OTH,EN,Otter_24<40m
202,2019,whg-cs,EN_Static_all,OTH,1,1181.142018,1181.142018,OTH,EN,Static_all
203,2019,whg-cs,FR_Other_all,OTH,1,6514.612067,6514.612067,OTH,FR,Other_all
204,2019,whg-cs,FR_Otter_10<24m,OTB_DEF_27.7.e,0.239316749,8331.36964,1993.8363,OTB_DEF_27,FR,Otter_10<24m
205,2019,whg-cs,FR_Otter_10<24m,OTB_DEF_27.7.h,0.084970794,8331.36964,707.9230896,OTB_DEF_27,FR,Otter_10<24m
206,2019,whg-cs,FR_Otter_10<24m,OTH,0.675712457,8331.36964,5629.610251,OTH,FR,Otter_10<24m
207,2019,whg-cs,FR_Otter_24<40m,OTB_DEF_27.7.e,0.175921897,9176.469249,1614.34188,OTB_DEF_27,FR,Otter_24<40m
208,2019,whg-cs,FR_Otter_24<40m,OTB_DEF_27.7.g,0.049938315,9176.469249,458.257415,OTB_DEF_27,FR,Otter_24<40m
209,2019,whg-cs,FR_Otter_24<40m,OTB_DEF_27.7.h,0.17686027,9176.469249,1622.952826,OTB_DEF_27,FR,Otter_24<40m
210,2019,whg-cs,FR_Otter_24<40m,OTB_DEF_27.7.j,0.206043995,9176.469249,1890.756386,OTB_DEF_27,FR,Otter_24<40m
211,2019,whg-cs,FR_Otter_24<40m,OTH,0.391235523,9176.469249,3590.160742,OTH,FR,Otter_24<40m
212,2019,whg-cs,FR_Otter_all,OTH,0.85674909,2764.81546,2368.75313,OTH,FR,Otter_all
213,2019,whg-cs,FR_Otter_all,OTT_DEF_27.7.g,0.14325091,2764.81546,396.0623295,OTT_DEF_27,FR,Otter_all
214,2019,whg-cs,IE_Beam_10<24m,OTH,1,303.733689,303.733689,OTH,IE,Beam_10<24m
215,2019,whg-cs,IE_Beam_24<40m,OTH,0.006156554,1379.154032,8.490836804,OTH,IE,Beam_24<40m
216,2019,whg-cs,IE_Beam_24<40m,TBB_DEF_27.7.g,0.993843446,1379.154032,1370.663195,TBB_DEF_27,IE,Beam_24<40m
217,2019,whg-cs,IE_Otter_10<24m,OTB_DEF_27.7.g,0.321756329,9303.01555,2993.304135,OTB_DEF_27,IE,Otter_10<24m
218,2019,whg-cs,IE_Otter_10<24m,OTB_DEF_27.7.j,0.170615033,9303.01555,1587.234305,OTB_DEF_27,IE,Otter_10<24m
219,2019,whg-cs,IE_Otter_10<24m,OTH,0.460695961,9303.01555,4285.861686,OTH,IE,Otter_10<24m
220,2019,whg-cs,IE_Otter_10<24m,SSC_DEF_27.7.g,0.046932677,9303.01555,436.6154243,SSC_DEF_27,IE,Otter_10<24m
221,2019,whg-cs,IE_Otter_24<40m,OTB_DEF_27.7.b,0.056079913,7144.140325,400.642769,OTB_DEF_27,IE,Otter_24<40m
222,2019,whg-cs,IE_Otter_24<40m,OTB_DEF_27.7.g,0.181866871,7144.140325,1299.282449,OTB_DEF_27,IE,Otter_24<40m
223,2019,whg-cs,IE_Otter_24<40m,OTH,0.762053216,7144.140325,5444.215108,OTH,IE,Otter_24<40m
225,2019,whg-cs,SP_Static_24<40m,OTH,1,354.49814,354.49814,OTH,SP,Static_24<40m
226,2019,whg-cs,SP_Static_all,LLS_DEF_27.7.c,0.102849071,2686.725953,276.3272684,LLS_DEF_27,SP,Static_all
227,2019,whg-cs,SP_Static_all,LLS_DEF_27.7.j,0.710490245,2686.725953,1908.892582,LLS_DEF_27,SP,Static_all
228,2019,whg-cs,SP_Static_all,OTH,0.186660684,2686.725953,501.506103,OTH,SP,Static_all
229,2019,sq_E,BE_Beam_10<24m,OTH,1,224.5021716,224.5021716,OTH,BE,Beam_10<24m
230,2019,sq_E,BE_Beam_24<40m,OTH,0.68118469,10179.87639,6934.375938,OTH,BE,Beam_24<40m
231,2019,sq_E,BE_Beam_24<40m,TBB_DEF_27.7.g,0.31881531,10179.87639,3245.500447,TBB_DEF_27,BE,Beam_24<40m
232,2019,sq_E,BE_Otter_24<40m,OTH,1,632.7195906,632.7195906,OTH,BE,Otter_24<40m
233,2019,sq_E,EN_Beam_10<24m,OTH,1,1037.24131,1037.24131,OTH,EN,Beam_10<24m
