,year,scenario,fleet,metier,effshare,effort,efmet,gear
226,2019,whg-cs,SP_Static_all,LLS_DEF_27.7.c,0.102849071,2686.725953,276.3272684,LLS_DEF_27
227,2019,whg-cs,SP_Static_all,LLS_DEF_27.7.j,0.710490245,2686.725953,1908.892582,LLS_DEF_27
228,2019,whg-cs,SP_Static_all,OTH,0.186660684,2686.725953,501.506103,OTH
229,2019,sq_E,BE_Beam_10<24m,OTH,1,224.5021716,224.5021716,OTH
230,2019,sq_E,BE_Beam_24<40m,OTH,0.68118469,10179.87639,6934.375938,OTH
231,2019,sq_E,BE_Beam_24<40m,TBB_DEF_27.7.g,0.31881531,10179.87639,3245.500447,TBB_DEF_27
232,2019,sq_E,BE_Otter_24<40m,OTH,1,632.7195906,632.7195906,OTH
233,2019,sq_E,EN_Beam_10<24m,OTH,1,1037.24131,1037.24131,OTH
234,2019,sq_E,EN_Beam_24<40m,OTH,1,3287.53843,3287.53843,OTH
235,2019,sq_E,EN_Other_all,OTH,1,3157.390324,3157.390324,OTH
236,2019,sq_E,EN_Otter_<10m,OTH,1,426.61262,426.61262,OTH
237,2019,sq_E,EN_Otter_10<24m,OTH,1,2370.029856,2370.029856,OTH
238,2019,sq_E,EN_Otter_24<40m,OTB_DEF_27.7.j,0.484364995,1658.127296,803.13882,OTB_DEF_27
239,2019,sq_E,EN_Otter_24<40m,OTH,0.515635005,1658.127296,854.9884765,OTH
240,2019,sq_E,EN_Static_all,OTH,1,2441.516202,2441.516202,OTH
241,2019,sq_E,FR_Other_all,OTH,1,11672.615,11672.615,OTH
242,2019,sq_E,FR_Otter_10<24m,OTB_DEF_27.7.e,0.239316749,14143.448,3384.764,OTB_DEF_27
243,2019,sq_E,FR_Otter_10<24m,OTB_DEF_27.7.h,0.084970794,14143.448,1201.78,OTB_DEF_27
244,2019,sq_E,FR_Otter_10<24m,OTH,0.675712457,14143.448,9556.904,OTH
245,2019,sq_E,FR_Otter_24<40m,OTB_DEF_27.7.e,0.175921897,15417.12,2712.209,OTB_DEF_27
246,2019,sq_E,FR_Otter_24<40m,OTB_DEF_27.7.g,0.049938315,15417.12,769.905,OTB_DEF_27
247,2019,sq_E,FR_Otter_24<40m,OTB_DEF_27.7.h,0.17686027,15417.12,2726.676,OTB_DEF_27
248,2019,sq_E,FR_Otter_24<40m,OTB_DEF_27.7.j,0.206043995,15417.12,3176.605,OTB_DEF_27
249,2019,sq_E,FR_Otter_24<40m,OTH,0.391235523,15417.12,6031.725,OTH
250,2019,sq_E,FR_Otter_all,OTH,0.85674909,4327.435,3707.526,OTH
251,2019,sq_E,FR_Otter_all,OTT_DEF_27.7.g,0.14325091,4327.435,619.909,OTT_DEF_27
252,2019,sq_E,IE_Beam_10<24m,OTH,1,377.072,377.072,OTH
253,2019,sq_E,IE_Beam_24<40m,OTH,0.006156554,1712.159,10.541,OTH
254,2019,sq_E,IE_Beam_24<40m,TBB_DEF_27.7.g,0.993843446,1712.159,1701.618,TBB_DEF_27
255,2019,sq_E,IE_Otter_10<24m,OTB_DEF_27.7.g,0.321756329,11936.076,3840.508,OTB_DEF_27
256,2019,sq_E,IE_Otter_10<24m,OTB_DEF_27.7.j,0.170615033,11936.076,2036.474,OTB_DEF_27
257,2019,sq_E,IE_Otter_10<24m,OTH,0.460695961,11936.076,5498.902,OTH
258,2019,sq_E,IE_Otter_10<24m,SSC_DEF_27.7.g,0.046932677,11936.076,560.192,SSC_DEF_27
259,2019,sq_E,IE_Otter_24<40m,OTB_DEF_27.7.b,0.056079913,8992.061,504.274,OTB_DEF_27
260,2019,sq_E,IE_Otter_24<40m,OTB_DEF_27.7.g,0.181866871,8992.061,1635.358,OTB_DEF_27
261,2019,sq_E,IE_Otter_24<40m,OTH,0.762053216,8992.061,6852.429,OTH
263,2019,sq_E,SP_Static_24<40m,OTH,1,354.49814,354.49814,OTH
264,2019,sq_E,SP_Static_all,LLS_DEF_27.7.c,0.102849071,2686.725953,276.3272684,LLS_DEF_27
265,2019,sq_E,SP_Static_all,LLS_DEF_27.7.j,0.710490245,2686.725953,1908.892582,LLS_DEF_27
266,2019,sq_E,SP_Static_all,OTH,0.186660684,2686.725953,501.506103,OTH
267,2019,val,BE_Beam_10<24m,OTH,1,203.821955,203.821955,OTH
268,2019,val,BE_Beam_24<40m,OTH,0.68118469,9578.68865,6524.856057,OTH
269,2019,val,BE_Beam_24<40m,TBB_DEF_27.7.g,0.31881531,9578.68865,3053.832593,TBB_DEF_27
270,2019,val,BE_Otter_24<40m,OTH,1,562.3721087,562.3721087,OTH
271,2019,val,EN_Beam_10<24m,OTH,1,973.8304148,973.8304148,OTH
272,2019,val,EN_Beam_24<40m,OTH,1,3028.812838,3028.812838,OTH
273,2019,val,EN_Other_all,OTH,1,2557.908214,2557.908214,OTH
274,2019,val,EN_Otter_<10m,OTH,1,314.9206304,314.9206304,OTH
275,2019,val,EN_Otter_10<24m,OTH,1,1619.880324,1619.880324,OTH
276,2019,val,EN_Otter_24<40m,OTB_DEF_27.7.j,0.484364995,1584.278258,767.3689311,OTB_DEF_27
277,2019,val,EN_Otter_24<40m,OTH,0.515635005,1584.278258,816.9093274,OTH
278,2019,val,EN_Static_all,OTH,1,2140.387488,2140.387488,OTH
279,2019,val,FR_Other_all,OTH,1,9555.26251,9555.26251,OTH
280,2019,val,FR_Otter_10<24m,OTB_DEF_27.7.e,0.239316749,10428.98131,2495.829907,OTB_DEF_27
281,2019,val,FR_Otter_10<24m,OTB_DEF_27.7.h,0.084970794,10428.98131,886.1588179,OTB_DEF_27
282,2019,val,FR_Otter_10<24m,OTH,0.675712457,10428.98131,7046.992587,OTH
