,year,stock,country,scenario,share
125,2019,SOL-7E,FR,min,1
126,2019,SOL-7E,IE,min,0
127,2019,SOL-7E,OT,min,0
128,2019,SOL-7E,SP,min,0
129,2019,SOL-7FG,BE,min,0
130,2019,SOL-7FG,EN,min,0
131,2019,SOL-7FG,FR,min,1
132,2019,SOL-7FG,IE,min,0
133,2019,SOL-7FG,OT,min,0
134,2019,SOL-7FG,SP,min,0
135,2019,WHG-CS,BE,min,0
136,2019,WHG-CS,EN,min,0
137,2019,WHG-CS,FR,min,1
138,2019,WHG-CS,IE,min,0
139,2019,WHG-CS,OT,min,0
140,2019,WHG-CS,SP,min,0
141,2019,COD-CS,BE,cod-cs,0
142,2019,COD-CS,EN,cod-cs,0
143,2019,COD-CS,FR,cod-cs,0
144,2019,COD-CS,IE,cod-cs,0
145,2019,COD-CS,OT,cod-cs,0
146,2019,COD-CS,SP,cod-cs,0
147,2019,HAD-CS,BE,cod-cs,0
148,2019,HAD-CS,EN,cod-cs,0
149,2019,HAD-CS,FR,cod-cs,0.42227169
150,2019,HAD-CS,IE,cod-cs,0
151,2019,HAD-CS,OT,cod-cs,0
152,2019,HAD-CS,SP,cod-cs,0.57772831
153,2019,MON-CS,BE,cod-cs,0
154,2019,MON-CS,EN,cod-cs,0
155,2019,MON-CS,FR,cod-cs,0.99938341
156,2019,MON-CS,IE,cod-cs,0
157,2019,MON-CS,OT,cod-cs,0
158,2019,MON-CS,SP,cod-cs,0.00061659
159,2019,N-HKE,BE,cod-cs,0
160,2019,N-HKE,EN,cod-cs,0
161,2019,N-HKE,FR,cod-cs,0.22533131
162,2019,N-HKE,IE,cod-cs,0
163,2019,N-HKE,OT,cod-cs,0
164,2019,N-HKE,SP,cod-cs,0.77466869
165,2019,N-MEG,BE,cod-cs,0
166,2019,N-MEG,EN,cod-cs,0
167,2019,N-MEG,FR,cod-cs,0.999931992
168,2019,N-MEG,IE,cod-cs,0
169,2019,N-MEG,OT,cod-cs,0
170,2019,N-MEG,SP,cod-cs,6.80E-05
171,2019,SOL-7E,BE,cod-cs,0
172,2019,SOL-7E,EN,cod-cs,0
173,2019,SOL-7E,FR,cod-cs,1
174,2019,SOL-7E,IE,cod-cs,0
175,2019,SOL-7E,OT,cod-cs,0
176,2019,SOL-7E,SP,cod-cs,0
177,2019,SOL-7FG,BE,cod-cs,0
178,2019,SOL-7FG,EN,cod-cs,0
179,2019,SOL-7FG,FR,cod-cs,1
180,2019,SOL-7FG,IE,cod-cs,0
181,2019,SOL-7FG,OT,cod-cs,0
182,2019,SOL-7FG,SP,cod-cs,0
183,2019,WHG-CS,BE,cod-cs,0
184,2019,WHG-CS,EN,cod-cs,0
185,2019,WHG-CS,FR,cod-cs,1
