sc,year,stock,value,data,SSAdvice,RelativeToSS
whg-cs,2020,WHG-CS,ssb,48705,44943,1.083706028
sq_E,2020,COD-CS,ssb,4303,6906,0.623081379
sq_E,2020,HAD-CS,ssb,18613,21650,0.859722864
sq_E,2020,MON-CS,ssb,80256,80342,0.998929576
sq_E,2020,N-HKE,ssb,367484,265492,1.384162235
sq_E,2020,N-MEG,ssb,76632,122698,0.624557858
sq_E,2020,SOL-7E,ssb,4155,3882,1.070324575
sq_E,2020,SOL-7FG,ssb,1659,3454,0.480312681
sq_E,2020,WHG-CS,ssb,44292,44943,0.985514986
val,2020,COD-CS,ssb,4715,6906,0.682739647
val,2020,HAD-CS,ssb,20070,21650,0.927020785
val,2020,MON-CS,ssb,82990,80342,1.0329591
val,2020,N-HKE,ssb,372364,265492,1.402543203
val,2020,N-MEG,ssb,79185,122698,0.645365043
val,2020,SOL-7E,ssb,4246,3882,1.0937661
val,2020,SOL-7FG,ssb,1692,3454,0.489866821
val,2020,WHG-CS,ssb,46843,44943,1.042275772
