"","fleet","stock","effort","st.n","Country"
"87","Beam_24<40m","SOL-7FG",2211.46638611507,"7","EN"
"88","Beam_24<40m","WHG-CS",1860.02686693077,"8","EN"
"89","Other_all","COD-CS",0,"1","EN"
"90","Other_all","HAD-CS",2458.45705643105,"2","EN"
"91","Other_all","MON-CS",1947.84439792943,"3","EN"
"92","Other_all","N-HKE",3900.55799504899,"4","EN"
"93","Other_all","N-MEG",1754.85230184603,"5","EN"
"94","Other_all","SOL-7E",4249.43875805209,"6","EN"
"95","Other_all","SOL-7FG",2138.55336759003,"7","EN"
"96","Other_all","WHG-CS",3349.27979948788,"8","EN"
"97","Otter_<10m","COD-CS",0,"1","EN"
"98","Otter_<10m","HAD-CS",125.596780435411,"2","EN"
"99","Otter_<10m","MON-CS",316.128562302041,"3","EN"
"100","Otter_<10m","N-HKE",527.003223989935,"4","EN"
"101","Otter_<10m","N-MEG",118.90820565734,"5","EN"
"102","Otter_<10m","SOL-7E",574.165375800999,"6","EN"
"103","Otter_<10m","SOL-7FG",288.951875267329,"7","EN"
"104","Otter_<10m","WHG-CS",426.118468681913,"8","EN"
"105","Otter_10<24m","COD-CS",0,"1","EN"
"106","Otter_10<24m","HAD-CS",655.663666376137,"2","EN"
"107","Otter_10<24m","MON-CS",1973.63834814862,"3","EN"
"108","Otter_10<24m","N-HKE",2896.48574946739,"4","EN"
"109","Otter_10<24m","N-MEG",1913.16601849902,"5","EN"
"110","Otter_10<24m","SOL-7E",3189.7534645678,"6","EN"
"111","Otter_10<24m","SOL-7FG",1605.26093016583,"7","EN"
"112","Otter_10<24m","WHG-CS",2174.90167471479,"8","EN"
"113","Static_all","COD-CS",0,"1","EN"
"114","Static_all","HAD-CS",2689.82716355406,"2","EN"
"115","Static_all","MON-CS",2350.35638101089,"3","EN"
"116","Static_all","N-HKE",2990.32661819475,"4","EN"
"117","Static_all","N-MEG",2162.21844394024,"5","EN"
"118","Static_all","SOL-7E",3285.96483537748,"6","EN"
"119","Static_all","SOL-7FG",1653.67983034544,"7","EN"
"120","Static_all","WHG-CS",1723.71700964575,"8","EN"
"121","Other_all","COD-CS",NA,"1","FR"
"122","Other_all","HAD-CS",5782.63472942629,"2","FR"
"123","Other_all","MON-CS",12388.6143797847,"3","FR"
"124","Other_all","N-HKE",12693.6851091717,"4","FR"
"125","Other_all","N-MEG",10595.8914595207,"5","FR"
"126","Other_all","SOL-7E",15709.829160833,"6","FR"
"127","Other_all","SOL-7FG",7906.0577099748,"7","FR"
"128","Other_all","WHG-CS",9507.19512529965,"8","FR"
"129","Otter_all","COD-CS",NA,"1","FR"
"130","Otter_all","HAD-CS",NA,"2","FR"
"131","Otter_all","MON-CS",4363.48682891986,"3","FR"
"132","Otter_all","N-HKE",4675.8663557744,"4","FR"
"133","Otter_all","N-MEG",3473.8001916049,"5","FR"
"134","Otter_all","SOL-7E",5824.16746843869,"6","FR"
"135","Otter_all","SOL-7FG",2877.33098899055,"7","FR"
"136","Otter_all","WHG-CS",4034.87418613055,"8","FR"
"137","Beam_10<24m","COD-CS",0,"1","IE"
"138","Beam_10<24m","HAD-CS",287.369157994721,"2","IE"
"139","Beam_10<24m","MON-CS",400.201634459302,"3","IE"
"140","Beam_10<24m","N-HKE",328.210346801545,"4","IE"
"141","Beam_10<24m","N-MEG",288.760704375383,"5","IE"
"142","Beam_10<24m","SOL-7E",NA,"6","IE"
"143","Beam_10<24m","SOL-7FG",68.9195151558263,"7","IE"
"144","Beam_10<24m","WHG-CS",443.258235067939,"8","IE"
"145","Beam_24<40m","COD-CS",0,"1","IE"
"146","Beam_24<40m","HAD-CS",1304.84811967763,"2","IE"
"147","Beam_24<40m","MON-CS",1817.18300551143,"3","IE"
"148","Beam_24<40m","N-HKE",1490.29442432582,"4","IE"
"149","Beam_24<40m","N-MEG",1311.20333894132,"5","IE"
"150","Beam_24<40m","SOL-7E",NA,"6","IE"
"151","Beam_24<40m","SOL-7FG",312.940680161042,"7","IE"
"152","Beam_24<40m","WHG-CS",2012.68876102094,"8","IE"
"153","Static_24<40m","COD-CS",NA,"1","SP"
"154","Static_24<40m","HAD-CS",NA,"2","SP"
"155","Static_24<40m","MON-CS",376.243091613226,"3","SP"
"156","Static_24<40m","N-HKE",437.937794248974,"4","SP"
"157","Static_24<40m","N-MEG",NA,"5","SP"
"158","Static_24<40m","SOL-7E",NA,"6","SP"
"159","Static_24<40m","SOL-7FG",NA,"7","SP"
"160","Static_24<40m","WHG-CS",NA,"8","SP"
