"","Country","scenario","year","fleet","effort"
"102","IE","whg-cs",2019,"Beam_10<24m",303.73368895288
"103","IE","whg-cs",2019,"Beam_24<40m",1379.15403197234
"104","SP","whg-cs",2019,"Static_24<40m",354.49814
"105","OT","whg-cs",2019,"_OTH",0
"106","SP","sq_E",2019,"Static_all",2686.725953399
"107","IE","sq_E",2019,"Otter_24<40m",8992.061
"108","FR","sq_E",2019,"Otter_10<24m",14143.448
"109","FR","sq_E",2019,"Otter_24<40m",15417.12
"110","IE","sq_E",2019,"Otter_10<24m",11936.076
"111","EN","sq_E",2019,"Otter_24<40m",1658.1272964744
"112","BE","sq_E",2019,"Beam_10<24m",224.50217162
"113","BE","sq_E",2019,"Beam_24<40m",10179.876385154
"114","BE","sq_E",2019,"Otter_24<40m",632.719590578
"115","EN","sq_E",2019,"Beam_10<24m",1037.24131
"116","EN","sq_E",2019,"Beam_24<40m",3287.53843
"117","EN","sq_E",2019,"Other_all",3157.3903243
"118","EN","sq_E",2019,"Otter_<10m",426.61262
"119","EN","sq_E",2019,"Otter_10<24m",2370.0298555533
"120","EN","sq_E",2019,"Static_all",2441.5162020047
"121","FR","sq_E",2019,"Other_all",11672.615
"122","FR","sq_E",2019,"Otter_all",4327.435
"123","IE","sq_E",2019,"Beam_10<24m",377.072
"124","IE","sq_E",2019,"Beam_24<40m",1712.159
"125","SP","sq_E",2019,"Static_24<40m",354.49814
"126","OT","sq_E",2019,"_OTH",1000
"127","SP","val",2019,"Static_all",2226.5014389279
"128","IE","val",2019,"Otter_24<40m",6869.05560981662
"129","FR","val",2019,"Otter_10<24m",10428.9813113855
"130","FR","val",2019,"Otter_24<40m",13228.9308520751
"131","IE","val",2019,"Otter_10<24m",9084.57896301048
"132","EN","val",2019,"Otter_24<40m",1584.27825847888
"133","BE","val",2019,"Beam_10<24m",203.821954979086
"134","BE","val",2019,"Beam_24<40m",9578.68865015925
"135","BE","val",2019,"Otter_24<40m",562.3721087208
"136","EN","val",2019,"Beam_10<24m",973.830414822784
"137","EN","val",2019,"Beam_24<40m",3028.81283833435
"138","EN","val",2019,"Other_all",2557.90821386967
"139","EN","val",2019,"Otter_<10m",314.920630448685
"140","EN","val",2019,"Otter_10<24m",1619.880323728
"141","EN","val",2019,"Static_all",2140.38748752144
"142","FR","val",2019,"Other_all",9555.26251037152
"143","FR","val",2019,"Otter_all",4002.77330579065
"144","IE","val",2019,"Beam_10<24m",322.981493798376
"145","IE","val",2019,"Beam_24<40m",1492.00591310265
"146","SP","val",2019,"Static_24<40m",293.741734087051
"147","OT","val",2019,"_OTH",1000
