fleet,metier,year,stock,L,D,V,metier2,Country,CatchKG
BE_Beam_24<40m,TBB_DEF_27.7.e,2009,HAD,5.304,0,6087.06,TBB_DEF,BE,5304
BE_Beam_24<40m,TBB_DEF_27.7.e,2009,WHG,6.586,0,6454.52,TBB_DEF,BE,6586
BE_Beam_24<40m,TBB_DEF_27.7.e,2010,HAD,6.95,0,6944.14,TBB_DEF,BE,6950
BE_Beam_24<40m,TBB_DEF_27.7.e,2010,WHG,3.454,0,3603.9,TBB_DEF,BE,3454
BE_Beam_24<40m,TBB_DEF_27.7.e,2011,HAD,27.754,0,32921.62,TBB_DEF,BE,27754
BE_Beam_24<40m,TBB_DEF_27.7.e,2011,WHG,10.12,0,11562.68,TBB_DEF,BE,10120
BE_Beam_24<40m,TBB_DEF_27.7.e,2012,HAD,14.5,0,19217.88,TBB_DEF,BE,14500
BE_Beam_24<40m,TBB_DEF_27.7.e,2012,WHG,11.158,0,12939.32,TBB_DEF,BE,11158
BE_Beam_24<40m,TBB_DEF_27.7.e,2013,HAD,6.382,0,9225.02,TBB_DEF,BE,6382
BE_Beam_24<40m,TBB_DEF_27.7.e,2013,WHG,9.094,0,10029.54,TBB_DEF,BE,9094
BE_Beam_24<40m,TBB_DEF_27.7.e,2014,HAD,1.952,0,2885.06,TBB_DEF,BE,1952
BE_Beam_24<40m,TBB_DEF_27.7.e,2014,WHG,3.3,0.952258,3087.48,TBB_DEF,BE,4252.258
BE_Beam_24<40m,TBB_DEF_27.7.e,2015,HAD,6.444,0,11533.98,TBB_DEF,BE,6444
BE_Beam_24<40m,TBB_DEF_27.7.e,2015,WHG,13.568,11.0954343,16993.54,TBB_DEF,BE,24663.4343
BE_Beam_24<40m,TBB_DEF_27.7.e,2016,HAD,2.198,3.284433435,3276.72,TBB_DEF,BE,5482.433435
BE_Beam_24<40m,TBB_DEF_27.7.e,2016,WHG,9.898,8.094237077,10354.08,TBB_DEF,BE,17992.23708
BE_Beam_24<40m,TBB_DEF_27.7.e,2017,HAD,11.358,16.97206322,21923.28,TBB_DEF,BE,28330.06322
BE_Beam_24<40m,TBB_DEF_27.7.e,2017,WHG,20.238,16.54992624,25357.46,TBB_DEF,BE,36787.92624
BE_Beam_24<40m,TBB_DEF_27.7.f,2009,COD,24.403,0,56214.57,TBB_DEF,BE,24403
BE_Beam_24<40m,TBB_DEF_27.7.f,2009,HAD,59.593,0,55910.83,TBB_DEF,BE,59593
BE_Beam_24<40m,TBB_DEF_27.7.f,2009,WHG,28.072,0,18940.73,TBB_DEF,BE,28072
BE_Beam_24<40m,TBB_DEF_27.7.f,2010,COD,26.057,0,66417.36,TBB_DEF,BE,26057
BE_Beam_24<40m,TBB_DEF_27.7.f,2010,HAD,71.324,0,69975.22,TBB_DEF,BE,71324
BE_Beam_24<40m,TBB_DEF_27.7.f,2010,WHG,43.076,0,27919.31,TBB_DEF,BE,43076
BE_Beam_24<40m,TBB_DEF_27.7.f,2011,COD,54.074,0,148928.99,TBB_DEF,BE,54074
BE_Beam_24<40m,TBB_DEF_27.7.f,2011,HAD,62.389,0,76597.4,TBB_DEF,BE,62389
BE_Beam_24<40m,TBB_DEF_27.7.f,2011,WHG,36.512,0,33233.29,TBB_DEF,BE,36512
BE_Beam_24<40m,TBB_DEF_27.7.f,2012,COD,139.407,0,310901.34,TBB_DEF,BE,139407
BE_Beam_24<40m,TBB_DEF_27.7.f,2012,HAD,72.047,0,75688.22,TBB_DEF,BE,72047
BE_Beam_24<40m,TBB_DEF_27.7.f,2012,WHG,46.759,0,43909.52,TBB_DEF,BE,46759
BE_Beam_24<40m,TBB_DEF_27.7.f,2013,COD,95.709,1.370744279,205344.32,TBB_DEF,BE,97079.74428
BE_Beam_24<40m,TBB_DEF_27.7.f,2013,HAD,59.771,0,80120.04,TBB_DEF,BE,59771
BE_Beam_24<40m,TBB_DEF_27.7.f,2013,WHG,94.45,0,72706.12,TBB_DEF,BE,94450
BE_Beam_24<40m,TBB_DEF_27.7.f,2014,COD,85.88,21.56761869,158729.91,TBB_DEF,BE,107447.6187
BE_Beam_24<40m,TBB_DEF_27.7.f,2014,HAD,56.667,0,81817.59,TBB_DEF,BE,56667
BE_Beam_24<40m,TBB_DEF_27.7.f,2014,WHG,153.747,44.36567967,131210.9,TBB_DEF,BE,198112.6797
BE_Beam_24<40m,TBB_DEF_27.7.f,2015,COD,75.515,1.892800709,147528.2,TBB_DEF,BE,77407.80071
